         1848256 function calls (1762275 primitive calls) in 64.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24552    0.019    0.000   55.757    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:764(wait)
     4092    0.018    0.000    0.026    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_pocketfft\helper.py:80(_asfarray)
    24555    0.017    0.000    0.022    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:267(__exit__)
    24552    0.017    0.000    0.022    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:756(ready)
     1029    0.016    0.000    0.016    0.000 {method 'format' of 'str' objects}
    20460    0.014    0.000    0.028    0.000 <__array_function__ internals>:177(empty_like)
    26752    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
     2046    0.013    0.000    0.097    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_pocketfft\basic.py:40(r2c)
    24555    0.013    0.000    0.019    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:264(__enter__)
     4092    0.013    0.000    0.161    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_backend.py:17(__ua_function__)
       14    0.011    0.001    0.011    0.001 {method 'read' of '_io.BufferedReader' objects}
    24010    0.011    0.000    0.020    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:279(_is_owned)
    24010    0.011    0.000    0.014    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:273(_release_save)
    45012    0.011    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    10230    0.011    0.000    0.011    0.000 {built-in method numpy.zeros}
    65472    0.010    0.000    0.010    0.000 {built-in method numpy.asanyarray}
    20460    0.009    0.000    0.013    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\numeric.py:1398(<listcomp>)
    53196    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
    20460    0.009    0.000    0.009    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    24553    0.009    0.000    0.009    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:351(_check_running)
    30747    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
    61380    0.008    0.000    0.008    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\multiarray.py:891(bincount)
     2046    0.007    0.000    0.049    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_pocketfft\basic.py:71(c2r)
    20460    0.007    0.000    0.007    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\numeric.py:1234(<dictcomp>)
    24831    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    24555    0.006    0.000    0.006    0.000 {method '__enter__' of '_thread.lock' objects}
    24570    0.006    0.000    0.006    0.000 {built-in method builtins.next}
    20460    0.005    0.000    0.005    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    24563    0.005    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:568(is_set)
     4092    0.005    0.000    0.006    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\lib\type_check.py:303(iscomplexobj)
    24010    0.005    0.000    0.005    0.000 {method 'append' of 'collections.deque' objects}
    40920    0.005    0.000    0.005    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\numeric.py:1143(_roll_dispatcher)
    24575    0.004    0.000    0.004    0.000 {method '__exit__' of '_thread.lock' objects}
     4092    0.004    0.000    0.023    0.000 <__array_function__ internals>:177(isrealobj)
     4092    0.004    0.000    0.015    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\lib\type_check.py:344(isrealobj)
    24552    0.004    0.000    0.004    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\fromnumeric.py:3340(_mean_dispatcher)
     4092    0.004    0.000    0.004    0.000 {built-in method numpy.array}
     1023    0.004    0.000    0.042    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\grid_generator.py:76(print)
        1    0.003    0.003   64.746   64.746 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\main.py:8(main)
    24014    0.003    0.000    0.003    0.000 {method 'release' of '_thread.lock' objects}
    20460    0.003    0.000    0.003    0.000 {built-in method _operator.index}
     4092    0.003    0.000    0.003    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_pocketfft\helper.py:150(_normalization)
    20468    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     2046    0.003    0.000    0.014    0.000 <__array_function__ internals>:177(concatenate)
     4092    0.003    0.000    0.003    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
     4092    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(iscomplexobj)
    20460    0.002    0.000    0.002    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\multiarray.py:84(empty_like)
     4092    0.002    0.000    0.010    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\scipy\fft\_pocketfft\helper.py:161(_workers)
       31    0.002    0.000    0.002    0.000 {built-in method nt.stat}
     2046    0.001    0.000    0.001    0.000 {method 'is_integer' of 'float' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
